[2025-09-11 17:21:59,588: INFO: main: Data Transformation stage complete.]
[2025-09-11 17:24:24,525: INFO: main: stage Data Ingestion stage initiated]
[2025-09-11 17:24:24,526: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:24:24,527: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:24:24,527: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:24:24,527: INFO: commons: created a directory at: artifacts/data_ingestion]
[2025-09-11 17:24:24,527: INFO: data_ingestion: File already exists]
[2025-09-11 17:24:24,577: INFO: data_ingestion: Extracted zip file to artifacts/data_ingestion]
[2025-09-11 17:24:24,577: INFO: main: Data Ingestion stage complete.]
[2025-09-11 17:24:24,577: INFO: main: stage Data Transformation stage initiated]
[2025-09-11 17:24:24,578: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:24:24,579: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:24:24,579: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:24:24,579: INFO: commons: created a directory at: artifacts/data_transformation]
[2025-09-11 17:24:32,056: INFO: main: Data Transformation stage complete.]
[2025-09-11 17:24:43,081: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 17:24:43,088: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 17:24:43,091: INFO: commons: created a directory at: artifacts]
[2025-09-11 17:24:43,093: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 21:02:50,744: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 21:02:50,754: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 21:02:50,756: INFO: commons: created a directory at: artifacts]
[2025-09-11 21:02:50,757: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-11 21:04:51,253: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 21:04:51,264: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 21:04:51,267: INFO: commons: created a directory at: artifacts]
[2025-09-11 21:04:51,268: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-11 21:06:09,984: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 21:06:09,993: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 21:06:09,996: INFO: commons: created a directory at: artifacts]
[2025-09-11 21:06:09,999: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-11 21:06:27,105: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 21:06:27,108: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 21:06:27,109: INFO: commons: created a directory at: artifacts]
[2025-09-11 21:06:27,110: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-11 21:11:18,582: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 21:11:18,616: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 21:11:18,655: INFO: commons: created a directory at: artifacts]
[2025-09-11 21:11:18,666: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-11 21:13:34,553: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 21:13:34,555: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 21:13:34,556: INFO: commons: created a directory at: artifacts]
[2025-09-11 21:13:34,557: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-11 21:14:42,897: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 21:14:42,902: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 21:14:42,904: INFO: commons: created a directory at: artifacts]
[2025-09-11 21:14:42,905: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-11 21:14:46,793: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 21:14:46,796: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 21:14:46,797: INFO: commons: created a directory at: artifacts]
[2025-09-11 21:14:46,798: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-11 21:15:11,298: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 21:15:11,303: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 21:15:11,304: INFO: commons: created a directory at: artifacts]
[2025-09-11 21:15:11,304: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-12 15:42:15,327: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-12 15:42:15,342: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-12 15:42:15,344: INFO: commons: created a directory at: artifacts]
[2025-09-12 15:42:15,344: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-12 15:44:11,336: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-12 15:44:11,339: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-12 15:44:11,340: INFO: commons: created a directory at: artifacts]
[2025-09-12 15:44:11,342: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-12 15:44:44,256: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-12 15:44:44,259: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-12 15:44:44,261: INFO: commons: created a directory at: artifacts]
[2025-09-12 15:44:44,264: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-12 15:46:36,909: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-12 15:46:36,911: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-12 15:46:36,912: INFO: commons: created a directory at: artifacts]
[2025-09-12 15:46:36,913: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-12 15:48:22,258: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-12 15:48:22,266: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-12 15:48:22,267: INFO: commons: created a directory at: artifacts]
[2025-09-12 15:48:22,268: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-12 15:48:53,532: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-12 15:48:53,544: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-12 15:48:53,549: INFO: commons: created a directory at: artifacts]
[2025-09-12 15:48:53,551: INFO: commons: created a directory at: artifacts/model_evaluation]
[2025-09-12 15:50:00,239: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-12 15:50:00,244: INFO: commons: yaml file: params.yaml loaded successfully]
